id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split
10192,prehistory,История,"Исследователи, которые изучают людей, проживая в определенных обществах и наблюдая за поведением людей, известны как:",археологи.,этнографы.,лингвисты.,палеоантропологи.,B,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
5241,high_school_psychology,Общество,"Врач, который курит сигареты, знает, что это вредно для здоровья, но думает, что он может продолжать курить, поскольку он питается здоровой пищей. Какая концепция лучше всего объясняет этот мыслительный процесс?",формирование реакции,аффективное переобучение,когнитивный диссонанс,навязчивая идея,C,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
7588,miscellaneous,Общие факты,Правовой основой для эскалации участия Соединенных Штатов во Вьетнамской войне было,объявление войны Конгрессом,принятие Конгрессом резолюции по Тонкинскому заливу,"Резолюция Организации Объединенных Наций, осуждающая вторжение Северного Вьетнама в Южный Вьетнам",положения о взаимной обороне Организации Североатлантического договора (НАТО),B,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test
13011,professional_psychology,Общество,Что не является критикой теории когнитивного развития Пиаже?,"Пиаже, возможно, недооценил компетентность маленьких детей и переоценил когнитивные способности подростков",Пиаже придавал слишком большое значение роли культуры и социальных взаимодействий в когнитивном развитии детей,"Когнитивное развитие происходит более постепенно и непрерывно, а не резко и поэтапно, как считал Пиаже","Дети действительно обладают определенными когнитивными способностями в определенном возрасте, которые Пиаже не наблюдал, потому что он разрабатывал эксперименты, которые были слишком сложными",B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
684,clinical_knowledge,Медицина,Назовите три из пяти основных способов использования руки.,"Прикасаться, осязать, гладить.","Держать, ударять, осязать.","Постукивать, шлепать, хлопать.","Прикасаться, щипать, хватать.",B,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test
8350,moral_disputes,Философия,"Каренс утверждает, что политика исключения не всегда подразумевает превосходство культуры и людей, которых защищают, потому что","такая политика фактически подразумевает, что защищаемая культура является неполноценной.","исключение может просто отражать привязанность к тому, что принадлежит человеку (а не веру в превосходство).",превосходство и неполноценность по своей сути являются субъективными понятиями.,только высшие культуры обладают свободой передвижения.,B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test
13757,virology,Медицина,"В каком направлении обычно движется ""информация"" в клетке?",От белка к ДНК,От ДНК к ДНК,От ДНК к РНК и белку,В случайном порядке,C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test
11205,professional_law,Право,"Обвиняемый, подозреваемый в убийстве, имел долгую и мучительную историю психических заболеваний. Он рассказал властям о нескольких возмутительных параноидальных фантазиях и был отправлен в психиатрическую больницу для оценки его способности предстать перед судом. Врачи сообщили, что единственной надеждой вернуть подсудимого к относительной норме, чтобы он мог предстать перед судом, было введение широко используемых антипсихотических препаратов. Этот человек также представлял опасность для себя и других, и лекарство было в его медицинских интересах. Обвиняемый утверждал, что введение наркотиков против его воли нарушило бы его право на свободу и надлежащую правовую процедуру по существу. Скорее всего, суд вынесет постановление о принудительном введении обвиняемому антипсихотических препаратов?","Да, назначение лекарств, позволяющих обвиняемому предстать перед судом без серьезных побочных эффектов, является важным государственным интересом, тем более в деле об убийстве.","Да, человек не имеет права на защиту от принудительного медицинского лечения, когда он находится под стражей у федеральных властей.","Нет, человек имеет абсолютное конституционное право быть свободным от проникновения лекарств в его организм против его воли.","Нет, принудительное введение лекарств обвиняемому по уголовному делу считается жестоким и необычным наказанием в нарушение конституционных гарантий штата и федерального уровня.",A,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test
3397,high_school_european_history,История,"Этот вопрос относится к следующей информации.
Приведенный ниже отрывок написан Джоном Кальвином.
Если нам нужно напомнить о происхождении избрания, чтобы доказать, что мы получаем спасение не из какого-либо другого источника, кроме простой благости Божьей, те, кто желает уничтожить этот принцип, делают все возможное, чтобы затемнить то, что должно быть пышно и громко прославлено, и вырвать смирение с корнем. Приписывая спасение остатка народа избранию благодати, Павел ясно свидетельствует, что только тогда становится известно, что Бог спасает тех, на кого не может быть никаких притязаний. Те, кто закрывает ворота, чтобы никто не осмелился приблизиться к этому учению и вкусить его, наносят не меньший вред человеку, чем Богу; ибо ничего другого не будет достаточно, чтобы вызвать в нас подобающее смирение или внушить нам должное чувство наших великих обязательств перед Богом. Также нет никакого другого основания для твердой уверенности, даже в соответствии с авторитетом Христа, который, чтобы избавить нас от всякого страха и сделать нас непобедимыми среди стольких опасностей, ловушек и смертельных конфликтов, обещает сохранить в безопасности всех, кого Отец вверил Своей заботе.
— Джон Кальвин, ""Институты христианской религии"", 1559
Какое из следующих убеждений, впервые поддержанных Кальвином, этот отрывок, по-видимому, подтверждает лучше всего?",Спасение,Предопределение,Божественность Иисуса,Симония,B,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test
11334,professional_law,Право,"Инвестор владел значительными долями в добыче нефти и полезных ископаемых в Скалистых горах. В июле 1990 года инвестор приобрел право собственности на участок площадью 100 акров, расположенный недалеко от городской черты в сельской местности. В 1997 году инвестор решил продать свое обширное ранчо и нефтяные интересы в Скалистых горах. В июле инвестор передал трактат за вознаграждение в один доллар, получение которого было подтверждено: ""Моему племяннику, его наследникам и правопреемникам, но если жена моего племянника умрет, не оставив наследства, моему шеф-повару и ее наследникам и правопреемникам. ""Вступив во владение участком площадью 100 акров, племянник обнаружил на этом участке значительные запасы нефти. Затем он начал операции по бурению нефтяных скважин и добыл большое количество нефти, которую продал. Он ни разу не уведомил шеф-повара о своей деятельности по бурению нефтяных скважин. Прошли месяцы, прежде чем шеф-повар узнал, что племянник продавал нефть с буровых работ. В настоящее время шеф-повар подал иск в суд о возмещении стоимости изъятого масла и о судебном запрете на любое дальнейшее удаление масла. Если жена племянника умерла, не оставив потомства, до начала операций племянника по бурению нефтяных скважин, повысит ли это вероятность успеха шеф-повара по сравнению с тем, если бы жена была все еще жива?","Нет, потому что право на удаление масла - это случай права на владение.","Нет, потому что характер имущества племянника не изменился бы в результате смерти жены.","Да, потому что смерть жены без наследства превратила бы гонорар племянника в возвратный процент.","Да, потому что, хотя у племянника все еще есть гонорар, теперь он наверняка будет расторгнут.",D,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test
5489,high_school_statistics,Математика,В том же тесте Мэри и Пэм набрали 64-й и 56-й процентили соответственно. Какое из следующих утверждений является истинным?,"Мэри набрала на восемь очков больше, чем Пэм.","Оценка Мэри на 8% выше, чем у Пэм.","Восемь процентов из тех, кто прошел тест, набрали баллы между Пэм и Мэри.","Тридцать шесть человек набрали больше баллов, чем Мэри и Пэм.",C,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
4874,high_school_psychology,Общество,Мания величия наиболее характерна для,ОКР.,шизофрении.,конверсионного расстройства.,антисоциального расстройства личности.,B,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test
3174,high_school_computer_science,Информационные технологии,"Большой набор данных содержит информацию обо всех студентах, специализирующихся в области компьютерных наук в колледжах по всей территории Соединенных Штатов. Набор данных содержит следующую информацию о каждом студенте.
   ° Пол учащегося
   ° Штат, в котором студент посещает колледж
   ° Средний балл студента по шкале 4.0

 На какой из следующих вопросов можно было бы ответить, проанализировав только информацию в наборе данных?","Имеют ли студенты, специализирующиеся в области компьютерных наук, как правило, более высокие средние баллы, чем студенты, специализирующиеся по другим предметам?","В скольких штатах процент женщин, обучающихся по специальности ""компьютерные науки"", выше, чем мужчин, обучающихся по специальности ""компьютерные науки"" в колледже этого штата?","Какой процент студентов, посещающих колледж в определенном штате, специализируются в области компьютерных наук?","В каком колледже наибольшее количество студентов, специализирующихся в области компьютерных наук?",B,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test
12590,professional_psychology,Общество,Функциональный анализ проводится с целью выявления _______ переменных.,контролируемых,модераторных,зависимых,организменных,A,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test
741,clinical_knowledge,Медицина,Максимальная устойчивая мощность:,обычно остается постоянной во время гонки.,снижается с увеличением дистанции гонки.,повышается при употреблении пищи с высоким содержанием жиров.,находится в обратной зависимости от содержания гликогена в мышцах.,B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
7783,miscellaneous,Общие факты,Что из перечисленного ниже не является нарушением в хоккее c шайбой?,задержка соперника клюшкой,неправильная атака соперника,резкие повороты,удар концом клюшки,C,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
9644,nutrition,Медицина,Сколько калорий в день должна съедать женщина во время беременности?,Менее 200 ккал,Дополнительные 200 ккал только в третьем триместре,Дополнительные 200 ккал на протяжении всей беременности,Без изменений по сравнению с уровнем до беременности,B,"Дайте ответ на задание по теме {subject}:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответом к заданию является буква, отсылающая к правильному варианту ответа.
Ответ:",test
3443,high_school_geography,География,Первый этап демографического перехода демонстрирует,"высокий уровень рождаемости при высоком, но колеблющемся уровне смертности.",снижение уровня рождаемости при сохраняющемся высоком уровне смертности.,низкий уровень рождаемости при сохраняющемся высоком уровне смертности.,высокий уровень рождаемости при снижении уровня смертности.,A,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test
