"жапсырма","мәтін"
"3","Мен дәмін татқан ең дәмді йогурт. Керемет консистенция, суы аз емес. Таза қоспалар және таңдау жақсы! Олардың дәмі өзгермейді деп үміттенемін!! Ал асқабақ бәлішінің дәмі өте ДӘМДІ!!"
"3","Жаңа жақсы жер, бірақ өте көп адам бар және ұйымдастырылмаған. Бірақ шұңқырдағы ет ТАМАША!! Міндетті түрде көріңіз. Тіпті көшедегі жүгері собығына майонез қосылған жүгері де бар!!"
"4","ух. лабиринт. инг. бұрын-соңды алған ең керемет массаж. Біз жұптардың ыстық тастармен массажынан ләззат алдық. 50 минут болғанына сене алмадым... күні бойы қала алсам ғой! Олар қолданған көк шай майы демалуға арналған тамаша хош иіс болды және ол күні бойы менің терімнен кетпеді! Душ жаңбырлы душ сияқты болды және қабырғаға тағы төрт бас жағылды. Сусабын, қырыну кремі, шашқа арналған өнімдер керемет болды. Тіпті үтік те болды! Мен таң қалдым! Мен оны қолдандым! Негізінде, егер сіз көп ақша жұмсағыңыз келсе, бірақ өте қанағаттанғыңыз келсе, онда осында келіңіз. Олар біздің кездесуге кешігіп қалғанымызға да қарсы болмады."
"3","Таңқаларлықтай дәмді круассандар. Әсіресе шоколады. Бадам дәмі сәл тәттірек, бірақ сонда да жақсы. Егер круассандар болмаса, бұл жер орташа болар еді.\nОлардың таңғы ас буфеті кішкентай, бірақ маған ұнады. Мен кафеге тапсырыс бердім, бірақ даяшы маған кәдімгі кофе берді :[. Ол аздап шаршаған сияқты көрінді, тіпті онша көп адам болған жоқ.\nТерезенің алдында дайын сэндвичтер мен киштер бар, олар жеткілікті жақсы. Кондитерлік өнімдер өте жақсы және әдемі ұсынылған. Құймақтары жақсы болды, бірақ бағасы тым қымбат. Макарондар көңілімді қалдырды, бірақ мен Америкада әлі күнге дейін нағыз макаронның дәмін таба алмадым. Оларда дәмді қораптағы шоколадтар бар. Маған жаңғақтар мен жемістермен қапталған сүтті, қара және ақ шоколадтың кішкентай дискілері ұнайды.\nОлардағы арнайы тағамдар мен үйлену тойына арналған торттар керемет және әрқашан менің сілекейімді ағызады."
"4","Бірге жұмыс істеуге керемет компания. Өте кәсіби және жергілікті іздеу маркетингі мен іздеу жүйесін оңтайландырудың дұрыс техникасын біледі. \n\nОлар аудиториямен қалай байланысу керектігін және тұтынушылар мен бизнес арасында байланыс орнатуды шынымен біледі. Жоғары бағалаймын!"
"3","Бұл қонақ үй маған қатты ұнады. Есікті ашқан кезде перделер автоматты түрде ашылатын көріністі тамашаладым, көрініс керемет болды. Маған ванна/душ және қос раковинаның үйлесімі өте ұнады - өте ыңғайлы.\n\nКонсьерж бізден бірдеңені тойлап жатырмыз ба деп сұрады (біз тойлап жатырмыз), ол біздің шығу уақытымызды түске дейін ұзартты (ура!), мен туған күніме бөлмемізде сыйлықтар алдым. Егер сіз олардың тіркелу уақытынан бұрын тіркеліп жатсаңыз, сөмкелеріңізді көлікте қалдыруды ұсынамын. Біздің бөлме ерте дайын болмады, сондықтан олар бізге дайын болған кезде хабарлама жіберді. Олар бізге кілттерді алдын ала берді, сондықтан хабарлама алған кезде біз бөлмемізге кіріп, тіркелу үшін кезекте тұрудың қажеті болмады.\n\nБұл тұрудың жалғыз кемшілігі - USB порты технологиясы. Біз бөлмеде музыка ойнату үшін телефондарымызды қоса алмадық, бұл өте жаман болды. Концертке баруға дайындалып жатқандықтан, қызмет көрсетуге қоңырау шалуға уақытымыз болмады. Істесе екен деп армандаймын - біз оны өзіміз шешуге шамамен 30 минут жұмсадық.\n\nЖалпы алғанда, мен бұл қонақ үйді міндетті түрде ұсынар едім."
"3"," Қала орталығындағы шоулар/концерттер үшін шағын, жайлы орын. Бар бал залының соңында, жуынатын бөлмелердің жанында орналасқан. Артқы жағында, сахнаға қараған үш қатар ""стадион"" орындықтары бар. Жалпы алғанда, таза, сүйкімді атмосфера және арзан сусындар - менің әдеттегі арақ мүкжидектерім үшін 5 доллар. Юс, Мас Йса және EMA-ны осында көру керемет уақыт өткізді - ал Crescent Ballroom іс-шараны тегін етті - бұл керемет болды!"
"1"," Мен үйде 8.10-ға арнайы чау-мейн дайындадым.\n\n- Panda Express-тен сәл жақсырақ. Өте дәмді. \n- бағасына аз порция. Олардың комбинациясына ет аз. \n- Чау-мейн 8.10, ал AYCE кешкі асы 10.50 тұрады ма? Бағасы нашар. \n- Мен AYCE-ді қайта көруім керек. Жеке тәрелкелерді жеу оған тұрарлық емес."
"2","Міне, жақсы және жаман жақтары;\n\nЖақсы жақтары: Тағам. Мен ешқандай негізгі тағамдарды жемесем де, құрбым жегеннің бәрі керемет екенін айтты. Мен өзім Mac n Cheese Trio мейрамханасында болдым; бір ай бұрын керемет болды, бірақ шынын айтсам, жақында тапсырыс алдық. Картоп фриі де керемет болды (три-типті қосыңыз, керемет).\nСыра таңдауы да артықшылық. Бұл дайын нәрсе ме, жоқ па, білмеймін, бірақ жиырма кранның барлығы жергілікті Аризона сыра қайнату зауыттары болды. Ақыры олардың сыраларын да ішіп көрдік. Мен Pale Ale ең жақсысы деп ойладым, өйткені Cherry Porter аздап шие тәрізді болды. Goze сонымен қатар мен көрген ең ерекше сыралардың бірі болды; ашытылған нан сырасы сияқты.\n\nЖаман жақтары: Біріншіден, тұрақ нашар, бірақ Феникс қаласының орталығындағы барлық жерде тұрақ нашар. Кішкентай тұрақ толы немесе валет үшін сақталған. Қалай болғанда да, тамақ жақсы болғанымен, бағасы сәл қымбат және менің ойымша, сыра қайнату зауыттары қарапайым демалыс орны, сондықтан сыраның үстіне негізгі тағам үшін 15 доллардан 18 долларға дейін төлеу қиын. Сонымен қатар, мен Happy Hour-ды жақсы көремін және Happy Hour-да сырасы жоқ бар мен сыра қайнату зауытын көргеніме таң қалдым. Тек гарнирлер мен қосымшалар бар. \n\nЖалпы алғанда; сыраның керемет таңдауы, керемет тағамдар, сырасыз Happy Hour және сәл қымбатырақ тағамдар. Біз міндетті түрде қайта барар едік, бірақ топтық іс-шара үшін (өйткені орын көп) немесе туған күн сияқты ерекше жағдай үшін барар едік."
"4","Бұл керемет шағын шаштараз. Мен мұнда бірнеше жылдан бері барып келемін, олар сарапшылар. Сіз әрқашан өзіңізді бағалы сезінесіз және әрқашан керемет қызмет көрсетесіз (және керемет шаш үлгісі де бар!).\nАтмосфера керемет - кішкентай, ерекше және әдетте мұндай деңгейдегі салонда кездесетіндей өзімшілдікке толы емес.\n\nМен қатты ұсынамын!!!"
"0","Мен жергілікті тұрғынмын және концерт көру үшін Риверада NYE өткізуді шештім. Үлкен қателік. Мен әдейі екі алдыңғы қатардағы орынды әрқайсысы 100 доллардан таңдап алдым және оларды сатып алған кезде жоспар алдымда болды. NYE қалада үлкен екенін білемін, сондықтан билеттерді бірнеше ай бұрын сатып алдым. Сахнаның жанында 3 бөлім болды, ал мен алдыңғы қатардағы 2-бөлімді - өлі орталықты таңдадым. \n\nКөрме болатын түні жоспардың өзгергенін білдім. Алдыңғы үш бөлім алты бөлімге өзгерді. 2-бөлім көрермендер залының алыс қабырғасында болды. Мен таңдаған алдыңғы қатардағы екі орын енді бүйірге жылжытылды. Мен үлкен динамиктердің бүйірінен көріндім және орнымнан сахнаны мүлдем көре алмадым.\n\nҚасында отырған екі жұп бұл біз таңдайтын жоспар емес екеніне келісті. Біз бір-бірімізді танымасақ та, алтауымыз бірге касса менеджерімен сөйлесуге бардық. \nБіздің алаңдаушылық білдірген, бірақ сыпайы сұрағымызға жауап? Өкінішке орай.\n\nКасса қызметкерлерінің бізге қаншалықты қатыгездікпен қарағанына алтауымыз таң қалдық. Кешірім сұраған да, көшіру туралы ұсыныс та болған жоқ. Олар бізге едендерді ауыстыру үнемі болып тұратынын және билеттерімізді тым ерте сатып алғанымызды, күтуіміз керек екенін айтты. Бұл маған мүлдем түсініксіз болды. Мен бүгін кешке алдын ала жоспарладым және мұқият жоспарлауымның салдарын тартып жатырмын ба? Барлығымыз NYE-дің бұзылғанына келістік. \nМен директорға немесе ойын-сауық орталығына жағдайды түсіндіріп, жақсы хат жаздым, бірақ ешқандай жауап естімедім.\nҚаладағы көптеген қонақ үйлерді ескере отырып, Ривераның беделі мен имиджі бойынша соңғы орында тұруы таңқаларлық емес және олар бұған лайық. Енді ешқашан."
"0"," Барлық пікірлерге сүйенсек, мүлдем басқаша және керемет нәрсе күтіп жүр едім... Мен қатты көңілім қалды!\nҚызмет көрсету өте нашар болды. Қызметкерлер аз, мәзірді білмедік, бізбен қайта хабарласпадық және т.б.\nТағам - ең жақсы дегенде орташа болды. Барлығының дәмі бірдей болды. Мен стейкті орташа мөлшерде тапсырыс берген кезде мұрындап қала жаздады, бірақ даяшы менің жағдайымды білу үшін ешқашан қайтып келмегендіктен, мен оған айта алмадым... \nАйтпаса да түсінікті!!!"
"2","Мен мұндай жерлерді Сан-Диегодағы орындармен салыстыруды жек көремін, бірақ Лас-Вегастағы қолөнер коктейльдері туралы көп нәрсе білуге болады. \n\nЕгер сіз District немесе GVR-мен таныс болсаңыз, Due and Proper бұрын ескі Al's Garage болғанын білетін шығарсыз. Қазір ол менің ағам Диснейлендтен шыққан ""Елес сарайы"" деп атаған нәрсеге айналды.\n\nДекоры керемет, сусындар жақсы, ал бармендік ең жақсы емес. Мен сенбі күні келдім, ал жер әлі онша көп емес еді... ақыры 10 минуттан кейін барменнің назарын аудардым және аз ғана арақ пен газдалған сусынға тапсырыс бердім. \n\nТапсырысымды алғаннан кейін, мен қолөнер коктейльдерінің мәзірін тауып, зерттеп, ""Өлі қоян"" деп аталатын қызықты көрінетін сусынды байқадым. Бұл сәбіз шырыны, бұрыш және басқа да ұмытылмас ингредиенттердің қоспасы болды. Бұл сусынның түсі әдемі және керемет көрінісі болды, бірақ дәмі мүлдем жоқ дерлік. Бұл қымбат спорттық көлік сатып алып, қозғалтқыштың аяғыңмен жұмыс істейтінін білгендей. Бұлай істеуге тұрарлық емес. Түннің қалған бөлігінде арақ пен газдалған сусын ішіп отырдым. \n\nАқыры бұл жер адамға толы болды, бірақ бізге дүңгіршек алуға мүмкіндік туды. Осыдан кейін тағы бір көңілді бар кеші болды. Дүкендегі қызмет көрсету керемет болды, тіпті тым жақсы болды, себебі мен Due and Proper-ден шыққан кезде ""бұқтырылған және дұрыс"" сезімін сезіндім. \n\nМен қайтып ораламын, ал қайтып оралған соң тағы бір қолөнер коктейлін көремін. Екінші мүмкіндікке әрқашан уақыт бар дегенім. Сондықтан сіз пікірлерді жаңарта аласыз, солай ма?"
"1","Замшада таңғы ас іштім. Айран құймағын тапсырыс бердім, ол туралған банандармен және қабығы аршылған жаңғақ салынған кішкене контейнермен келді. Жақсы болды, бірақ 12 долларға тұрарлық емес деп ойладым. Олар тек екі кішкентай контейнер сироп пен бір үлкен кесек май берді. Кофе 4 доллар тұрды. Иә... сәл қымбат."
"0","2.02.11 - Төмен түсу туралы әңгіме! Жаңа менеджер ме, әлде басқа ма, білмеймін, бірақ салатыммен бірге нан жеп, астыңғы бөлігі қара зеңге оралып қалғанда... ТАМАША! \n\nЖетпісінші жылдарда тұрған бұл кішкентай орын - Белл жолындағы Белэйр гольф алаңындағы мейрамхана. Егер сіз кәдімгі американдық тағамдарды іздесеңіз, бұл шынымен де жасырын інжу-маржан сияқты. Тыныш, көлдің керемет көрінісі бар, тыныш, жақсы қызмет көрсету және орташадан жоғары тағам. Таңғы ас әсіресе дәмді, тауық етінен жасалған қуырылған стейк менің сүйікті тағамым. Шын мәнінде, бұл нағыз стейк, алдын ала нанға оранған емес. Маған түскі асқа клуб сэндвичі ұнайды - мол ет, жаңа піскен салат және қызанақ, ащы картоп - қалай қателесуге болады? Оған тағы бір жұлдыз бермеуімнің жалғыз себебі - безендіру. Өте жақсы, меніңше. Таза. Жетпісінші жылдар шамасында. Бірақ, достарыңызбен демалуға, бардан сусын ішуге және жетпісінші жылдардың сүйкімділігіне енуге барыңыз."
"4","Тамаша. Жалғыз шағым кешіктірілген брондау болды. Керемет атмосфера. Керемет қызметкерлер. Керемет мәзір. Және дәмді тағам. Бранзино және бұқтырылған қабырғалар өте керемет. Бағалар сапасына байланысты әділ. Мүмкін, үлкен шарап тізімі (стақанмен). Әрине, қайта барамын."
"4","Бұл жерді қатты жақсы көремін. Мен жеп көрген ең керемет сушилердің бірі - бәрі жаңа және мұқият жасалған. Суши керемет (теңіз тарақтары керемет), мәзірінде ерекше тоқаштар бар және қызмет көрсету керемет. Бұл маған ұнайтын өте кішкентай жер және менің ойымша, бұл шынайылықты арттырады. Аспаздар кіріп-шығатындардың барлығын қарсы алып, алғыс айтады. Бұл жер туралы жақсы сөздерді айтудың өзі қиын!"
"4","Біз бұрын-соңды көшіру компаниясын жалдаған емеспіз. Әдетте біз жүк көлігін өзіміз жалға аламыз және бізге көмектесетін достар мен отбасы мүшелерін жақыннан іздейміз. Denali Moving компаниясын тапқанымызға қатты қуаныштымын. Олар өте кәсіби болды және менің заттарым сенімді қолда екенін сезіндім. Олар тиеу-түсіру кезіндегі барлық стрессті жеңілдетті. Егер бізге қайтадан көшу қажет болса, біз Denali Moving компаниясын пайдаланамыз."
"3","Бұл жер кеңсе ғимаратын аралап жүргенде менің құшағыма тығылып қалды. Егер сіз ауыр, дәмді тағамдарды ұнататын болсаңыз, бұл жердің тамағы ӨТЕ дәмді. Маған ең ұнағаны - Джамбалая. ӨТЕ ДӘМДІ. Бұл жер өте кішкентай, бірақ дәмін татқыңыз келсе, кезекте тұруға тұрарлық. Ол үнемі толы болады, сондықтан орын күтуге келіскеніңізге көз жеткізіңіз."
"0","олар қоймада 10% қайта сатып алу ақысын алады. Қызметкерлер сіз тауарды қайтарып алғанша, тіпті қайтару процесі туралы сұрасаңыз да, бұл туралы сізге айтпайды."
"4","Future Tenant - керемет дәстүрлі емес өнер галереясы. Олар көп салалы өнерге бағытталған, сондықтан әрқашан ерекше нәрсе болып тұрады. Оларда дәстүрлі 2D көркемсурет көрмелері, театр қойылымдары, ашық микрофон кештері және көпшілікке арналған терезелердегі инсталляциялар бар. Бұл жас суретшілердің назарын аударуға тамаша орын. Ал іс-шаралар кезінде ашық бар бар, бұл әрқашан артықшылық болып табылады."
"1"," Бұл жер жаман емес, бірақ онша жақсы да емес. (тағам жағынан)\n\nОларда күні бойы дим-сам бар, ал бағалары арзан, сондықтан бұл жақсы.\n\nБірақ мен бұл жерге қайта келмеймін. Шынымды айтсам."
"2"," Қолжетімді бағамен дәмді мексикалық тағамдар. Мен тауық энчиладасын жедім, олармен бірге көп күріш пен бұршақ келді. Картоп фриі мен сальсаны тез толтыруға болады. Бардағы қызмет көрсету жақсы болды және мен Ескі қалада болған кезде бұл жерге жиірек баруым керек."
"4","Екінші рет келдім - аспазшы мен қызмет көрсетуші персонал өте мейірімді, ал тағамы керемет.\n\nАлғаш рет Eggs Royale жедім, бұл менің ең жақсы Benedict болуы мүмкін - албырттың құрылымы мен дәмі тамаша болды, ал голландиялық балық мінсіз пісірілген жұмыртқамен жақсы үйлеседі. Десертке сүтті шоколадты торт жедім және өзіме круассан алдым, өте дәмді! \n\nБұл жолы мен картоп қосылған таңғы асқа круассан жедім - керемет! Сондай-ақ, өте дәмді лаванда-ванильді жасыл мұздатылған шай іштім. Тұздалған карамель эклерін алып кеттім, сондықтан оның дәмі туралы әзірге ештеңе айта алмаймын, бірақ көңілім қалмайды деп ойлаймын!"
"0","Мен Доллардан пәтер жалдап келдім... шамамен бір жыл бұрын. Мен брондауымды жасап қойдым... кезекте тұрдым. Бірде кассаға барғанда... несие тарихымды тексеруге байланысты Доллардан пәтер жалдай алмайтынымды айтты. Мен: ""бірақ мен сізді жылдар бойы пайдаланып келемін"" дедім. Кешіріңіз, мырза, біз ештеңе істей алмаймыз. Содан кейін ол маған несие тарихын тексеру туралы ақпарат жазылған ақ қағаз берді. ""Құдай-ау"" деп ойладым, мен не білемін?? Маған көлік керек... сонда не болады? ""Қай компания несие тарихын тексермейтінін айта аласыз ба?"" Жоқ, ол айтты. Рақмет, Доллар... көп рақмет. Шынымен де... бұл ұят нәрсе ғана емес (ол дөрекі және бәрін ашық айтты) - бұл кәсіби емес еді. Бақытыма орай, мен бюджетке кездейсоқ тап болдым, олар менен қысқа мерзімге жалға алу үшін ақша алды - бірақ кем дегенде олар маған жалға берді. Қалай болғанда да - басқа жерден жалға алды... мұнда емес!"
"1"," Түсінбедім. Тауық еті мен вафлиді барлығы ұсынғандай тапсырыс бердім, бірақ дәмсіз және тым піскен болып шықты. Мүмкін, тағы да сынап көрермін. Бірақ көрмеймін. Дегенмен, ол 2 адамға жетеді. Біздің ешқайсымыз оған мән бермегендіктен, 3 адамға да жетеді."
"3","Шай ТАМАША! Мен соншалықты тез ішіп болдым, тіпті тұншығып қала жаздадым. Ха-ха. Бұл сапалы шай! Тауық етінің таяқшалары өте дәмді болды. Мен Лос-Анджелесте ащы тұздықты қамыс тұздығыма қостым, ол аузымның суын ағызып жіберді. Картоп фриі жаңа емес еді, бірақ мен картоп фриін аса ұнатпаймын."
"1","Біз Смит орталығындағы қойылымға бармас бұрын кешкі асқа тапсырыс бергенбіз. Жексенбі еді, екі театрда қойылымдар болды. Біз 15 минут ерте келдік, мейрамхана толы болды. Қонақ үй иесі келіп тұрғандарға толы екенін және бос орын тек верандада екенін айтты. Қонақ үй иесі бізді жарықсыз кішкентай үстелге апарды, біз мәзірді оқу мүмкін емес деп ойладық. Біз тағы бір үстел сұрадық, мен үстел сынғандықтан бос емес екенін айттым (табыс жоғалды!!). Бізге 4 адамға арналған тағы бір үстел ұсынылды, оған кіру қиын болды, бірақ қанағаттанарлық болды. Д\u00e9cor көркем, суретшілер палитрасы сияқты әдемі үстелдер және көршілес бөлмеге сәйкес келеді. \n\nҚызмет көрсету\nДаисымыз Смит орталығына барасыз ба деп сұрады, біз барғандықтан, ол бізді тез шығарып салады. Клиенттің киімінен бәрі Смит орталығына бара жатқаны көрінді. Біз бір уақытта 2 бокал шарап пен кешкі асқа тапсырыс бердік. Шарапты шамамен 10 минут күту ұзаққа созылғандай көрінді. Біраз уақыттан кейін мен даяшыдан шарап туралы сұрадым, ол тек бір бармен екенін және барлығы дайын екенін айтты. Әйелім негізгі тағам ретінде француз пияз сорпасына тапсырыс берді, ал мен Баррамунди теңіз алабұғасына тапсырыс бердім. Француз пияз сорпасы теңіз алабұғасынан бөлек шықты. Мен өтіп бара жатқан даяшыдан негізгі тағамымды сұрамас бұрын 10 минут күттім. Ол оны бірден үстелге сатып алды. Ас үйде алып кетуді күтіп тұрған ба екен деп ойлаймын. Келген бойда мен екі кешкі асты неге бірге әкелмегенін сұрадым, жауап ретінде балық сорпаға қарағанда ұзағырақ дайындалатыны айтылды. Мен сұрақты қайталадым, даяшы оларды бірге әкелу керек деп келісті. Мейрамхана Смит орталығынан келетін көп жұмыстан шаршаған сияқты.\n\nТағам\nСорпа ыстық емес, жылы болды және ерте келгендіктен, әйелім оны жеді, себебі ол менің кешкі асымды күтсе, суық болар еді. Сорпа дәмді, пиязға тәтті дәмі бар еді. Негізгі тағамым өте дәмді болды. Балық керемет пісірілген және дәмді тұздыққа ие болды.\n\nҚызмет көрсету мәселелері болмағанда, мен Bar + Bistro-ға 4 жұлдыз берер едім. Театр кешінен басқа жерде бару қызықты болуы мүмкін. Bar + Bistro - Лас-Вегас өнер ауданына жақсы қосымша. \nСоңғы пікір: даяшымыз бізден десерт алғыңыз келе ме деп сұрамады."
"2","Мен Local Dines дүкенінен жеңілдік сертификатын сатып алдым және жұмыс уақытына қарамау қателігін жасадым. Біз кешкі асқа бардық, олар кешкі ас бермейді, бірақ сағат 15:00-де жабылады.\nТек бәрінің бұл туралы хабардар болуын қаладым. Біз көңіліміз қалды, бірақ бұл біздің қателігіміз болды."
