мәтін1,мәтін2,жапсырма,idx,белгі_мәтіні,instance,generated_options,option_a,option_b,option_c,option_d
" Тейлор мырза мінезі тұрақсыз адам еді, және ол Дэвидті нашар адам деп санайтын және оның өз пайдасына кез келген қадамды жасағаны оның туа біткен ақымақтығының тағы бір дәлелі деп санайтын.",Оның өз атынан берген кез келген нұсқау Дәуіттің туа біткен ақымақтығының тағы бір дәлелі ғана еді.,1,63,тарту,"мәтін1:  Тейлор мырза мінезі тұрақсыз адам еді, және ол Дэвидті нашар адам деп санайтын және оның өз пайдасына кез келген қадамды жасағаны оның туа біткен ақымақтығының тағы бір дәлелі деп санайтын.
мәтін2: Оның өз атынан берген кез келген нұсқау Дәуіттің туа біткен ақымақтығының тағы бір дәлелі ғана еді.
жапсырма: 1","A) Тейлор мырза сипаты тұрақсыз адам еді, және ол Дэвидті нашар адам деп есептейтіні және оның өз пайдасына кез келген қадамды жасағаны оның туа біткен ақымақтығының тағы бір дәлелі деп білді.  
B) Тейлор мырза табиғаты тұрақсыз адам еді, және ол Дэвидті жаман адам деп ойлайтыны және оның өз пайдасына кез келген қадамды жасағаны оның туа біткен ақымақтығының тағы бір көрсетуі деп санайтын.  
C) Тейлор мырза мінезі тұрақсыз адам еді, және ол Дэвидті келеңсіз адам деп қабылдайтыны және оның өз пайдасына кез келген қадамды жасағаны оның туа біткен ақымақтығының тағы бір дәлелі деп бағалайтын.  
D) Тейлор мырза мінез-құлқы тұрақсыз адам еді, және ол Дэвидті нашар адам деп есептейтіні және оның өз пайдасына кез келген әрекетті жасағаны оның туа біткен ақымақтығының тағы бір дәйегі деп айтатын.  ","Тейлор мырза сипаты тұрақсыз адам еді, және ол Дэвидті нашар адам деп есептейтіні және оның өз пайдасына кез келген қадамды жасағаны оның туа біткен ақымақтығының тағы бір дәлелі деп білді.","Тейлор мырза табиғаты тұрақсыз адам еді, және ол Дэвидті жаман адам деп ойлайтыны және оның өз пайдасына кез келген қадамды жасағаны оның туа біткен ақымақтығының тағы бір көрсетуі деп санайтын.","Тейлор мырза мінезі тұрақсыз адам еді, және ол Дэвидті келеңсіз адам деп қабылдайтыны және оның өз пайдасына кез келген қадамды жасағаны оның туа біткен ақымақтығының тағы бір дәлелі деп бағалайтын.","Тейлор мырза мінез-құлқы тұрақсыз адам еді, және ол Дэвидті нашар адам деп есептейтіні және оның өз пайдасына кез келген әрекетті жасағаны оның туа біткен ақымақтығының тағы бір дәйегі деп айтатын."
Қалалық кеңес мүшелері наразылық білдірушілерге зорлық-зомбылықты жақтағандықтан рұқсат беруден бас тартты.,Демонстранттар зорлық-зомбылықты насихаттады.,1,43,тарту,"мәтін1: Қалалық кеңес мүшелері наразылық білдірушілерге зорлық-зомбылықты жақтағандықтан рұқсат беруден бас тартты.
мәтін2: Демонстранттар зорлық-зомбылықты насихаттады.
жапсырма: 1","A) Қалалық кеңес мүшелері наразылық білдірушілерге күш көрсетуді жақтағандықтан рұқсат беруден бас тартты.

B) Қалалық кеңес мүшелері наразылық білдірушілерге зорлық-зомбылықты қолдағандықтан рұқсат беруден бас тартты.

C) Қалалық кеңес мүшелері наразылық білдірушілерге рақымшылықты жақтағандықтан рұқсат беруден бас тартты.

D) Қалалық кеңес мүшелері наразылық білдірушілерге жәбірлеуді жақтағандықтан рұқсат беруден бас тартты.",Қалалық кеңес мүшелері наразылық білдірушілерге күш көрсетуді жақтағандықтан рұқсат беруден бас тартты.,Қалалық кеңес мүшелері наразылық білдірушілерге зорлық-зомбылықты қолдағандықтан рұқсат беруден бас тартты.,Қалалық кеңес мүшелері наразылық білдірушілерге рақымшылықты жақтағандықтан рұқсат беруден бас тартты.,Қалалық кеңес мүшелері наразылық білдірушілерге жәбірлеуді жақтағандықтан рұқсат беруден бас тартты.
" Ит мысықты қуды, ол ағашқа жүгіріп шықты. Ол басында күтті.",Мысық жоғарғы жағында күтті.,1,68,тарту,"мәтін1:  Ит мысықты қуды, ол ағашқа жүгіріп шықты. Ол басында күтті.
мәтін2: Мысық жоғарғы жағында күтті.
жапсырма: 1","A)  
Ит мысықты қуып, ол ағашқа жүгіріп шықты. Ол басында күтіп тұрды.  

B)  
Ит мысықты қуалап, ол ағашқа жүгіріп шықты. Ол басында күтумен болды.  

C)  
Ит мысықты қуып, ол ағашқа жүгіріп кетті. Ол басында күтіп отырды.  

D)  
Ит мысықты қуатын, ол ағашқа жүгіріп шықты. Ол басында күтуді жалғастырды.  ","Ит мысықты қуып, ол ағашқа жүгіріп шықты. Ол басында күтіп тұрды.","Ит мысықты қуалап, ол ағашқа жүгіріп шықты. Ол басында күтумен болды.","Ит мысықты қуып, ол ағашқа жүгіріп кетті. Ол басында күтіп отырды.","Ит мысықты қуатын, ол ағашқа жүгіріп шықты. Ол басында күтуді жалғастырды."
" Бернард үкімет шенеунігіне үй шаруашылығына талап арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет жасадым деп санамады. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.",Оның 19 жаста екенін білетін кез келген адам оның талабын кез келген адамнан тартып ала алатын.,0,9,міндеттеме емес,"мәтін1:  Бернард үкімет шенеунігіне үй шаруашылығына талап арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет жасадым деп санамады. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.
мәтін2: Оның 19 жаста екенін білетін кез келген адам оның талабын кез келген адамнан тартып ала алатын.
жапсырма: 0","A) Бернард үкімет қызметкеріне үй шаруашылығына талап арыз берген кезінде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет істедім деп санамады. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.

B) Бернард үкіметтің шенеунігіне үй шаруашылығына талап арыз берген кезде 21 жасқа жетпегенін айтпағандықтан, ол ешқандай адал емес әрекет жасағаным деп санамады. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын тартып ала алады.

C) Бернард үкіметтің қызметкеріне үй шаруашылығына талап арыз берген уақытта 21 жасқа жетпегенін айтпағандықтан, ол ешқандай адал емес әрекет жасағанын есептемеді. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алуына болады.

D) Бернард мемлекеттік шенеунікке үй шаруашылығына талап арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет істедім деп ойлаған жоқ. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып тастай алады.","Бернард үкімет қызметкеріне үй шаруашылығына талап арыз берген кезінде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет істедім деп санамады. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.","Бернард үкіметтің шенеунігіне үй шаруашылығына талап арыз берген кезде 21 жасқа жетпегенін айтпағандықтан, ол ешқандай адал емес әрекет жасағаным деп санамады. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын тартып ала алады.","Бернард үкіметтің қызметкеріне үй шаруашылығына талап арыз берген уақытта 21 жасқа жетпегенін айтпағандықтан, ол ешқандай адал емес әрекет жасағанын есептемеді. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алуына болады.","Бернард мемлекеттік шенеунікке үй шаруашылығына талап арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет істедім деп ойлаған жоқ. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып тастай алады."
"Мен лимон ағаштарында лимондар өсіп тұрған бақшаның суретін салуға тырыстым, бірақ олар телефон бағаналарына көбірек ұқсап шықты.",Лимондар телефон бағаналарына көбірек ұқсап шықты.,0,36,міндеттеме емес,"мәтін1: Мен лимон ағаштарында лимондар өсіп тұрған бақшаның суретін салуға тырыстым, бірақ олар телефон бағаналарына көбірек ұқсап шықты.
мәтін2: Лимондар телефон бағаналарына көбірек ұқсап шықты.
жапсырма: 0","A)
Мен лимон ағаштарында лимондар өсіп тұрған бақтың суретін салуға тырыстым, бірақ олар телефон бағаналарына көбірек ұқсап шықты.

B)
Мен лимон ағаштарында лимондар өсіп тұрған бақшаның бейнесін салуға тырыстым, бірақ олар телефон бағаналарына көбірек ұқсап шықты.

C)
Мен лимон ағаштарында лимондар өсіп тұрған бақшаның картинесін салуға тырыстым, бірақ олар телефон бағаналарына көбірек ұқсап шықты.

D)
Мен лимон ағаштарында лимондар өсіп тұрған бақшаның видосын салуға тырыстым, бірақ олар телефон бағаналарына көбірек ұқсап шықты.","Мен лимон ағаштарында лимондар өсіп тұрған бақтың суретін салуға тырыстым, бірақ олар телефон бағаналарына көбірек ұқсап шықты.","Мен лимон ағаштарында лимондар өсіп тұрған бақшаның бейнесін салуға тырыстым, бірақ олар телефон бағаналарына көбірек ұқсап шықты.","Мен лимон ағаштарында лимондар өсіп тұрған бақшаның картинесін салуға тырыстым, бірақ олар телефон бағаналарына көбірек ұқсап шықты.","Мен лимон ағаштарында лимондар өсіп тұрған бақшаның видосын салуға тырыстым, бірақ олар телефон бағаналарына көбірек ұқсап шықты."
Әкесі ұйықтап жатқан баланы қолына көтеріп алды.,Әкесі ұйықтап жатқан баланы әкесінің құшағында көтеріп жүрді.,1,59,тарту,"мәтін1: Әкесі ұйықтап жатқан баланы қолына көтеріп алды.
мәтін2: Әкесі ұйықтап жатқан баланы әкесінің құшағында көтеріп жүрді.
жапсырма: 1","A)
Әкесі ұйықтап жатқан ұлды қолына көтеріп алды.

B)
Әкесі ұйықтап жатқан қызды қолына көтеріп алды.

C)
Әкесі ұйықтап жатқан баланы әкесімен құшағында көтеріп жүрді.

D)
Әкесі ұйықтап жатқан баланы атасының құшағында көтеріп жүрді.",Әкесі ұйықтап жатқан ұлды қолына көтеріп алды.,Әкесі ұйықтап жатқан қызды қолына көтеріп алды.,Әкесі ұйықтап жатқан баланы әкесімен құшағында көтеріп жүрді.,Әкесі ұйықтап жатқан баланы атасының құшағында көтеріп жүрді.
" Бернард үкімет шенеунігіне үй шаруашылығына талап арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет жасадым деп санамады. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.",Бернард жер телімін алуға өтініш берген кезде 21 жасқа толмаған еді.,1,38,тарту,"мәтін1:  Бернард үкімет шенеунігіне үй шаруашылығына талап арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет жасадым деп санамады. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.
мәтін2: Бернард жер телімін алуға өтініш берген кезде 21 жасқа толмаған еді.
жапсырма: 1","A) Бернард үкімет қызметкеріне үй шаруашылығына талап арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет жасадым деп санамады. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.  
B) Бернард мемлекеттік шенеунікке үй шаруашылығына талап арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет жасадым деп есептемеді. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.  
C) Бернард үкімет шенеунігіне үй шаруашылығы бойынша талап арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет жасағаным деп санамады. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.  
D) Бернард мемлекеттік қызметкеріне үй шаруашылығына арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет жасағанын деп сезбеді. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.  ","Бернард үкімет қызметкеріне үй шаруашылығына талап арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет жасадым деп санамады. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.","Бернард мемлекеттік шенеунікке үй шаруашылығына талап арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет жасадым деп есептемеді. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.","Бернард үкімет шенеунігіне үй шаруашылығы бойынша талап арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет жасағаным деп санамады. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады.","Бернард мемлекеттік қызметкеріне үй шаруашылығына арыз берген кезде 21 жасқа толмағанын айтпағандықтан, ол ешқандай адал емес әрекет жасағанын деп сезбеді. Соған қарамастан, оның 19 жаста екенін білетін кез келген адам одан талап арызын алып қоя алады."
Мен бөтелкедегі суды кесеге босағанша құйдым.,Бөтелке бос еді.,1,66,тарту,"мәтін1: Мен бөтелкедегі суды кесеге босағанша құйдым.
мәтін2: Бөтелке бос еді.
жапсырма: 1","A) Мен құтындағы суды кесеге босағанша құйдым.  
B) Мен бөтелкедегі суыңызды кесеге босағанша құйдым.  
C) Мен бөтелкенің ішіндегі суды кесеге босағанша құйдым.  
D) Мен бөтелкедегі сұйықтықты кесеге босағанша құйдым.  ",Мен құтындағы суды кесеге босағанша құйдым.,Мен бөтелкедегі суыңызды кесеге босағанша құйдым.,Мен бөтелкенің ішіндегі суды кесеге босағанша құйдым.,Мен бөтелкедегі сұйықтықты кесеге босағанша құйдым.
" Әкесі балалардың бет-әлпетіне қарады, ол қазір таң қалып, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға соншама нәрседен бас тартуға тура келгені өкінішті еді.",Балаларға ақшасы жетпеді.,0,61,міндеттеме емес,"мәтін1:  Әкесі балалардың бет-әлпетіне қарады, ол қазір таң қалып, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға соншама нәрседен бас тартуға тура келгені өкінішті еді.
мәтін2: Балаларға ақшасы жетпеді.
жапсырма: 0","A) Әкесі балалардың бет-жүзіне қарады, ол қазір таңырқап, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға соншama нәрселерден бас тартуға тура келгені өкінішті еді. 

B) Әкесі балалардың жүзіне қарады, ол қазір таңырқау үшін қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға соншалықты заттардан бас тартуға тура келгені өкінішті еді.

C) Әкесі балалардың келбетіне қарады, ол қазір шошып, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға сонша заттардан бас тартуға тура келгені өкінішті еді.

D) Әкесі балалардың бетінен қарады, ол қазір таңғалып, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға сонша нәрселерден бас тартуға тура келгені өкінішті еді.","Әкесі балалардың бет-жүзіне қарады, ол қазір таңырқап, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға соншama нәрселерден бас тартуға тура келгені өкінішті еді.","Әкесі балалардың жүзіне қарады, ол қазір таңырқау үшін қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға соншалықты заттардан бас тартуға тура келгені өкінішті еді.","Әкесі балалардың келбетіне қарады, ол қазір шошып, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға сонша заттардан бас тартуға тура келгені өкінішті еді.","Әкесі балалардың бетінен қарады, ол қазір таңғалып, қайғырып тұрды. Өзінің қалтасы көтермейтіндіктен, оларға сонша нәрселерден бас тартуға тура келгені өкінішті еді."
" Олар шамамен бірдей жылдамдықпен жүгіргенімен, Сью Саллиді жеңді, себебі ол өте жақсы бастады.",Саллидің бастамасы өте жақсы болды.,0,26,міндеттеме емес,"мәтін1:  Олар шамамен бірдей жылдамдықпен жүгіргенімен, Сью Саллиді жеңді, себебі ол өте жақсы бастады.
мәтін2: Саллидің бастамасы өте жақсы болды.
жапсырма: 0","A) Олар шамамен бірдей жылдамдықпен жүгіргенімен, Сью Салиді жеңді, себебі ол өте жақсы бастама жасады.  
B) Олар шамамен бірдей жылдамдықпен жүгіргенімен, Сью Салриді жеңді, себебі ол өте жақсы бастауды жүзеге асырды.  
C) Олар шамамен бірдей жылдамдықпен жүгіргенімен, Сью Салиді жеңіп шықты, себебі ол өте жақсы бастауды қолға алды.  
D) Олар шамамен бірдей жылдамдықпен жүгіргенімен, Сью Салиді бағындырды, себебі ол өте тамаша бастау алды.  ","Олар шамамен бірдей жылдамдықпен жүгіргенімен, Сью Салиді жеңді, себебі ол өте жақсы бастама жасады.","Олар шамамен бірдей жылдамдықпен жүгіргенімен, Сью Салриді жеңді, себебі ол өте жақсы бастауды жүзеге асырды.","Олар шамамен бірдей жылдамдықпен жүгіргенімен, Сью Салиді жеңіп шықты, себебі ол өте жақсы бастауды қолға алды.","Олар шамамен бірдей жылдамдықпен жүгіргенімен, Сью Салиді бағындырды, себебі ол өте тамаша бастау алды."
"Фред ыдыс жуғыш машинаны басқаруы керек еді, бірақ теледидар көргісі келгендіктен, оны кейінге қалдырды. Бірақ бағдарлама жалықтыратын болып шықты, сондықтан ол ойын өзгертіп, оны өшірді."," Ол ойын өзгертіп, ыдыс жуғыш машинаны өшірді.",0,52,міндеттеме емес,"мәтін1: Фред ыдыс жуғыш машинаны басқаруы керек еді, бірақ теледидар көргісі келгендіктен, оны кейінге қалдырды. Бірақ бағдарлама жалықтыратын болып шықты, сондықтан ол ойын өзгертіп, оны өшірді.
мәтін2:  Ол ойын өзгертіп, ыдыс жуғыш машинаны өшірді.
жапсырма: 0","A) Фред ыдыс жуғыш құрылғыны басқаруы керек еді, бірақ теледидар көргісі келгендіктен, оны кейінге қалдырды. Бірақ бағдарлама жалықтыратын болып шықты, сондықтан ол ойын өзгертіп, оны өшірді.

B) Фред ыдыс жуғыш аппаратты басқаруы керек еді, бірақ теледидар көргісі келгендіктен, оны кейінге қалдырды. Бірақ бағдарлама жалықтыратын болып шықты, сондықтан ол ойын өзгертіп, оны өшірді.

C) Фред ыдыс жуғыш машинаны басқаруы керек еді, бірақ теледидар көруді қаласа, оны кейінге қалдырды. Бірақ бағдарлама жалықтыратын болып шықты, сондықтан ол ойын өзгертіп, оны өшірді.

D) Фред ыдыс жуғыш машинаны басқаруы тиіс еді, бірақ теледидар көргісі келгендіктен, оны кейінге қалдырды. Бірақ бағдарлама жалықтыратын болып шықты, сондықтан ол ойын өзгертіп, оны өшірді.","Фред ыдыс жуғыш құрылғыны басқаруы керек еді, бірақ теледидар көргісі келгендіктен, оны кейінге қалдырды. Бірақ бағдарлама жалықтыратын болып шықты, сондықтан ол ойын өзгертіп, оны өшірді.","Фред ыдыс жуғыш аппаратты басқаруы керек еді, бірақ теледидар көргісі келгендіктен, оны кейінге қалдырды. Бірақ бағдарлама жалықтыратын болып шықты, сондықтан ол ойын өзгертіп, оны өшірді.","Фред ыдыс жуғыш машинаны басқаруы керек еді, бірақ теледидар көруді қаласа, оны кейінге қалдырды. Бірақ бағдарлама жалықтыратын болып шықты, сондықтан ол ойын өзгертіп, оны өшірді.","Фред ыдыс жуғыш машинаны басқаруы тиіс еді, бірақ теледидар көргісі келгендіктен, оны кейінге қалдырды. Бірақ бағдарлама жалықтыратын болып шықты, сондықтан ол ойын өзгертіп, оны өшірді."
" Олар хабарландыру таратты, бірақ станцияға метро келді, мен оны ести алмадым.",Мен метроның дыбысын ести алмадым.,1,30,тарту,"мәтін1:  Олар хабарландыру таратты, бірақ станцияға метро келді, мен оны ести алмадым.
мәтін2: Мен метроның дыбысын ести алмадым.
жапсырма: 1","A)  
Олар хабарламаны таратты, бірақ станцияға метро келді, мен оны ести алмадым.

B)  
Олар жариялауды таратты, бірақ станцияға метро келді, мен оны ести алмадым.

C)  
Олар ескертуді таратты, бірақ станцияға метро келді, мен оны ести алмадым.

D)  
Олар хабарландыруды таратты, бірақ станцияға метро келді, мен оны ести алмадым.","Олар хабарламаны таратты, бірақ станцияға метро келді, мен оны ести алмадым.","Олар жариялауды таратты, бірақ станцияға метро келді, мен оны ести алмадым.","Олар ескертуді таратты, бірақ станцияға метро келді, мен оны ести алмадым.","Олар хабарландыруды таратты, бірақ станцияға метро келді, мен оны ести алмадым."
" Дауыл кезінде ағаш құлап, үйімнің шатырын кесіп өтті. Енді оны жөндеуім керек.",Енді шатырды жөндеуім керек.,1,65,тарту,"мәтін1:  Дауыл кезінде ағаш құлап, үйімнің шатырын кесіп өтті. Енді оны жөндеуім керек.
мәтін2: Енді шатырды жөндеуім керек.
жапсырма: 1","A)
Дауыл кезінде ағаш құлап, үйімнің шатырына кесіп өтті. Енді оны қалпына келтіруім керек.

B)
Дауыл кезінде ағаш құлап, үйімнің шатырын шабуылды. Енді оны жаңартып алғым келеді.

C)
Дауыл кезінде ағаш құлап, үйімнің шатырын жыртты. Енді оны жөндеуді бастауым керек.

D)
Дауыл кезінде ағаш құлап, үйімнің шатырын теспен өтті. Енді оны жөндеуім қажет.","Дауыл кезінде ағаш құлап, үйімнің шатырына кесіп өтті. Енді оны қалпына келтіруім керек.","Дауыл кезінде ағаш құлап, үйімнің шатырын шабуылды. Енді оны жаңартып алғым келеді.","Дауыл кезінде ағаш құлап, үйімнің шатырын жыртты. Енді оны жөндеуді бастауым керек.","Дауыл кезінде ағаш құлап, үйімнің шатырын теспен өтті. Енді оны жөндеуім қажет."
" Джейн Сюзанның есігін қақты, бірақ ол жауап бермеді.",Сьюзан жауап бермеді.,1,1,тарту,"мәтін1:  Джейн Сюзанның есігін қақты, бірақ ол жауап бермеді.
мәтін2: Сьюзан жауап бермеді.
жапсырма: 1","A)  
Джейн Сюзанның есігін ұрып өтті, бірақ ол жауап бермеді.  

B)  
Джейн Сюзанның есігін қағып көрді, бірақ ол жауап бермеді.  

C)  
Джейн Сюзанның есігін соқты, бірақ ол жауап бермеді.  

D)  
Джейн Сюзанның есігін қақты, бірақ ол жауап қайтармады.  ","Джейн Сюзанның есігін ұрып өтті, бірақ ол жауап бермеді.","Джейн Сюзанның есігін қағып көрді, бірақ ол жауап бермеді.","Джейн Сюзанның есігін соқты, бірақ ол жауап бермеді.","Джейн Сюзанның есігін қақты, бірақ ол жауап қайтармады."
" Монкрифф мырза Честердің Нью-Йорктегі сәнді пәтеріне барып, оны ұлы Эдвардқа тиесілі деп ойлады. Нәтижесінде Монкрифф мырза Эдвардтың қаржылық қолдауына мұқтаж емес деген негізде оның жәрдемақысын алып тастау туралы шешім қабылдады.",Оған енді Честердің қаржылық қолдауы қажет емес.,0,19,міндеттеме емес,"мәтін1:  Монкрифф мырза Честердің Нью-Йорктегі сәнді пәтеріне барып, оны ұлы Эдвардқа тиесілі деп ойлады. Нәтижесінде Монкрифф мырза Эдвардтың қаржылық қолдауына мұқтаж емес деген негізде оның жәрдемақысын алып тастау туралы шешім қабылдады.
мәтін2: Оған енді Честердің қаржылық қолдауы қажет емес.
жапсырма: 0","A)  Монкрифф мырза Честердің Нью-Йорктегі сәнді пәтеріне барып, оны ұлы Эдвардқа тиесілі деп санады. Нәтижесінде Монкрифф мырза Эдвардтың қаржылық қолдауына мұқтаж емес деген негізде оның жәрдемақысын жою туралы шешім қабылдады.

B)  Монкрифф мырза Честердің Нью-Йорктегі сәнді пәтеріне барып, оны ұлы Эдвардқа тиесілі деп біле берді. Нәтижесінде Монкрифф мырза Эдвардтың қаржылық қолдауына мұқтаж емес деген себеппен оның жәрдемақысын алып тастау туралы шешім қабылдады.

C)  Монкрифф мырза Честердің Нью-Йорктегі сәнді пәтеріне барып, оны ұлы Эдвардқа тиесілі деп сезінді. Нәтижесінде Монкрифф мырза Эдвардтың қаржылық қолдауына мұқтаж емес деген тұжырыммен оның жәрдемақысын жою туралы шешім қабылдады.

D)  Монкрифф мырза Честердің Нью-Йорктегі сәнді пәтеріне барып, оны ұлы Эдвардқа тиесілі деп есептеді. Нәтижесінде Монкрифф мырза Эдвардтың қаржылық қолдауына мұқтаж емес деген негізде оның жәрдемақысын тоқтату туралы шешім қабылдады.","Монкрифф мырза Честердің Нью-Йорктегі сәнді пәтеріне барып, оны ұлы Эдвардқа тиесілі деп санады. Нәтижесінде Монкрифф мырза Эдвардтың қаржылық қолдауына мұқтаж емес деген негізде оның жәрдемақысын жою туралы шешім қабылдады.","Монкрифф мырза Честердің Нью-Йорктегі сәнді пәтеріне барып, оны ұлы Эдвардқа тиесілі деп біле берді. Нәтижесінде Монкрифф мырза Эдвардтың қаржылық қолдауына мұқтаж емес деген себеппен оның жәрдемақысын алып тастау туралы шешім қабылдады.","Монкрифф мырза Честердің Нью-Йорктегі сәнді пәтеріне барып, оны ұлы Эдвардқа тиесілі деп сезінді. Нәтижесінде Монкрифф мырза Эдвардтың қаржылық қолдауына мұқтаж емес деген тұжырыммен оның жәрдемақысын жою туралы шешім қабылдады.","Монкрифф мырза Честердің Нью-Йорктегі сәнді пәтеріне барып, оны ұлы Эдвардқа тиесілі деп есептеді. Нәтижесінде Монкрифф мырза Эдвардтың қаржылық қолдауына мұқтаж емес деген негізде оның жәрдемақысын тоқтату туралы шешім қабылдады."
Фред - менің үлкен атамды есінде сақтаған жалғыз тірі адам. Ол керемет адам.,Фред - ерекше адам.,1,27,тарту,"мәтін1: Фред - менің үлкен атамды есінде сақтаған жалғыз тірі адам. Ол керемет адам.
мәтін2: Фред - ерекше адам.
жапсырма: 1","A)  
Фред - менің үлкен атамды есте сақтаған жалғыз тірі тұлға. Ол ғажайып адам.  

B)  
Фред - менің үлкен атамды еске алған жалғыз тірі жан. Ол тамаша адам.  

C)  
Фред - менің үлкен атамды ойлаған жалғыз тірі адам. Ол сүйкімді адам.  

D)  
Фред - менің үлкен атамды есінде ұстаған жалғыз тірі адам. Ол әсерлі адам.  ",Фред - менің үлкен атамды есте сақтаған жалғыз тірі тұлға. Ол ғажайып адам.,Фред - менің үлкен атамды еске алған жалғыз тірі жан. Ол тамаша адам.,Фред - менің үлкен атамды ойлаған жалғыз тірі адам. Ол сүйкімді адам.,Фред - менің үлкен атамды есінде ұстаған жалғыз тірі адам. Ол әсерлі адам.
" Джордж қойылымға тегін билеттер алды, бірақ оларды Эрикке берді, себебі ол оны көруге ерекше құштар болды.",Эрик оны көруге ерекше құмар болды.,1,29,тарту,"мәтін1:  Джордж қойылымға тегін билеттер алды, бірақ оларды Эрикке берді, себебі ол оны көруге ерекше құштар болды.
мәтін2: Эрик оны көруге ерекше құмар болды.
жапсырма: 1","A) Джордж қойылымға тегін билеттер алды, бірақ оларды Эриктің берді, себебі ол оны көруге ерекше ынтық болды.  
B) Джордж қойылымға ақысыз билеттер алды, бірақ оларды Эрикке тапсырды, себебі ол оны көруге ерекше ықылас болды.  
C) Джордж қойылымға тегін билеттер алды, бірақ оларды Эриктің табыстады, себебі ол оны көруге ерекше қызығушылық болды.  
D) Джордж қойылымға белгілеп билеттер алды, бірақ оларды Эрикке беріп жіберді, себебі ол оны көруге ерекше құмарланды.","Джордж қойылымға тегін билеттер алды, бірақ оларды Эриктің берді, себебі ол оны көруге ерекше ынтық болды.","Джордж қойылымға ақысыз билеттер алды, бірақ оларды Эрикке тапсырды, себебі ол оны көруге ерекше ықылас болды.","Джордж қойылымға тегін билеттер алды, бірақ оларды Эриктің табыстады, себебі ол оны көруге ерекше қызығушылық болды.","Джордж қойылымға белгілеп билеттер алды, бірақ оларды Эрикке беріп жіберді, себебі ол оны көруге ерекше құмарланды."
