id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_a,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
21789,https://ymnik.kz/tests_old/worldhistory_kz/?v=12,Humanities,World_History,High School,Kazakh,World History (High School in kaz),1925 жылы Германияда фашистер құрған партия.,Ұлттық-социалистік жұмысшы партиясы.,Еркін демократтар партиясы.,Социал-демократиялық.,Республикалық партия.,Христиан-демократиялық.,A,test,1925 жылы Германияда фашистер құрған партия.,"A)
1925 жылы Германияда фашистер негізін қалаған саяси ұйым.

B)
1925 жылы Алманияда нацистер ұйымдастырған саяси бірлестік.

C)
1925 жылы Герман елінде диктаторлар ашқан саяси топ.

D)
1925 жылы Германия аумағында гитлершілер жасақтаған партия.",1925 жылы Германияда фашистер негізін қалаған саяси ұйым.,1925 жылы Алманияда нацистер ұйымдастырған саяси бірлестік.,1925 жылы Герман елінде диктаторлар ашқан саяси топ.,1925 жылы Германия аумағында гитлершілер жасақтаған партия.,E,E,E,E,E
16767,https://oltest.kz/tests/filosofiya_i_psihologiya/,Humanities,Philosophy and psychology,University,Russian,Philosophy and Psychology (Professional & University in rus),"К словесным методам обучения относятся:
","графические работы
","иллюстрация
",демонстрация,упражнение,"беседа, рассказ, объяснение
",E,test,"К словесным методам обучения относятся:
","A)
К вербальным способам преподавания причисляются:

B)
К устным приёмам образования причисляются:

C)
К речевым техникам просвещения относятся:

D)
К лингвистическим формам подготовки принадлежат:",К вербальным способам преподавания причисляются:,К устным приёмам образования причисляются:,К речевым техникам просвещения относятся:,К лингвистическим формам подготовки принадлежат:,A,E,E,A,A
20400,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),"Герой произведения Ч. Айтматова «Белый пароход»:
Наружность... была вовсе не аксакальская. Ни степенности, ни важности, ни суровости. Добряк он был, и с первого взгляда разгадывалось в нем это неблагородное свойство человеческое...",Момун,Мальчик,Сейдахмет,Оразкул,,A,test,"Герой произведения Ч. Айтматова «Белый пароход»:
Наружность... была вовсе не аксакальская. Ни степенности, ни важности, ни суровости. Добряк он был, и с первого взгляда разгадывалось в нем это неблагородное свойство человеческое...","A)
Персонаж творения Ч. Айтматова «Белый пароход»:
Облик... был совсем не старейшинский. Ни чинности, ни значительности, ни строгости. Мягкосердечный он был, и с начального взора распознавалось в нем это невозвышенное качество людское...

B)
Действующее лицо труда Ч. Айтматова «Белый пароход»:
Вид... был отнюдь не патриарший. Ни солидности, ни весомости, ни жесткости. Добродушный он был, и с первого мига угадывалась в нем эта незавидная черта человеческая...

C)
Протагонист сочинения Ч. Айтматова «Белый пароход»:
Внешность... была вовсе не почтенная. Ни рассудительности, ни авторитетности, ни резкости. Простак он был, и с единственного взгляда прочитывалось в нем это невеличавое свойство мирское...

D)
Личность повести Ч. Айтматова «Белый пароход»:
Наружный облик... был совершенно не старческий. Ни выдержки, ни престижности, ни сурового нрава. Добросердечный он был, и с мгновенного взора открывалось в нем это простое качество мужское...","Персонаж творения Ч. Айтматова «Белый пароход»:
Облик... был совсем не старейшинский. Ни чинности, ни значительности, ни строгости. Мягкосердечный он был, и с начального взора распознавалось в нем это невозвышенное качество людское...","Действующее лицо труда Ч. Айтматова «Белый пароход»:
Вид... был отнюдь не патриарший. Ни солидности, ни весомости, ни жесткости. Добродушный он был, и с первого мига угадывалась в нем эта незавидная черта человеческая...","Протагонист сочинения Ч. Айтматова «Белый пароход»:
Внешность... была вовсе не почтенная. Ни рассудительности, ни авторитетности, ни резкости. Простак он был, и с единственного взгляда прочитывалось в нем это невеличавое свойство мирское...","Личность повести Ч. Айтматова «Белый пароход»:
Наружный облик... был совершенно не старческий. Ни выдержки, ни престижности, ни сурового нрава. Добросердечный он был, и с мгновенного взора открывалось в нем это простое качество мужское...",E,E,E,E,E
13133,https://itest.kz/kz/endless,Humanities,Law,High School,Kazakh,Law (High School in kaz),Әлеуметтік рөл дегеніміз,Жеке тұлғаны өзгелерден ерекшелейтін қасиеттер мен қабілеттер жиынтығы,Тұлғаның әрекет ету жағдайын нақты қабылдауға және осы жағдайда белгілі бір мінез-құлық танытуға бейімдігі,Әлеуметтік жүйеде әрекет етуші тұлғалардың мінез-құлқын оның мәртебесіне немесе позициясына қарап айқындайтын нормалар жиынтығы және осы нормаларды іске асыратын мінез-құлықтың өзі,Басқа жағдайда тұлғаның мінез-құлқын өзіне қабылдауға талпынысы,,C,test,Әлеуметтік рөл дегеніміз,"A)
Қоғамдық рөл дегеніміз

B)
Әлеуметтік қызмет дегеніміз

C)
Қоғамдық міндет дегеніміз

D)
Әлеуметтік бейне дегеніміз",Қоғамдық рөл дегеніміз,Әлеуметтік қызмет дегеніміз,Қоғамдық міндет дегеніміз,Әлеуметтік бейне дегеніміз,E,E,E,E,E
22375,https://ymnik.kz/tests_old/worldhistory/?v=63,Humanities,World_History,High School,Russian,World History (High School in rus),Лицо сфинкса это лицо фараона …,Пепи-Ра,Хафра,Джосера,Имхотепа,Хуфу,B,test,Лицо сфинкса это лицо фараона …,"A)
Облик сфинкса это облик монарха …

B)
Физиономия сфинкса это физиономия правителя …

C)
Лик сфинкса это лик царя …

D)
Наружность сфинкса это наружность государя …",Облик сфинкса это облик монарха …,Физиономия сфинкса это физиономия правителя …,Лик сфинкса это лик царя …,Наружность сфинкса это наружность государя …,E,E,E,E,E
16220,https://itest.kz/ru/endless,Humanities,Math_Literacy,High School,Russian,Math Literacy (High School in rus),На полоске бумаги записано число 2581953764. Мади разрезал полоску в двух местах и получил три полоски с тремя числами. Какое наименьшее значение может иметь сумма этих трёх чисел?,4298,2978,4217,2975,,D,test,На полоске бумаги записано число 2581953764. Мади разрезал полоску в двух местах и получил три полоски с тремя числами. Какое наименьшее значение может иметь сумма этих трёх чисел?,"A)
На ленте бумаги отмечено число 2581953764. Мади разделил ленту в двух пунктах и приобрёл три ленты с тремя числами. Какое минимальное значение может принимать сумма данных трёх чисел?

B)
На отрезке бумаги зафиксировано число 2581953764. Мади расчленил отрезок в двух точках и извлёк три отрезка с тремя числами. Какое мизерное значение может составить сумма этих трёх чисел?

C)
На листке бумаги начертано число 2581953764. Мади разрубил листок в двух позициях и выгадал три листка с тремя числами. Какое крошечное значение может составить сумма указанных трёх чисел?

D)
На клочке бумаги выведено число 2581953764. Мади раздробил клочок в двух местах и выработал три клочка с тремя числами. Какое малейшее значение может выражать сумма названных трёх чисел?",На ленте бумаги отмечено число 2581953764. Мади разделил ленту в двух пунктах и приобрёл три ленты с тремя числами. Какое минимальное значение может принимать сумма данных трёх чисел?,На отрезке бумаги зафиксировано число 2581953764. Мади расчленил отрезок в двух точках и извлёк три отрезка с тремя числами. Какое мизерное значение может составить сумма этих трёх чисел?,На листке бумаги начертано число 2581953764. Мади разрубил листок в двух позициях и выгадал три листка с тремя числами. Какое крошечное значение может составить сумма указанных трёх чисел?,На клочке бумаги выведено число 2581953764. Мади раздробил клочок в двух местах и выработал три клочка с тремя числами. Какое малейшее значение может выражать сумма названных трёх чисел?,A,E,E,E,E
2254,https://itest.kz/ru/endless,STEM,Biology,High School,Russian,Biology (High School in rus),Примером внутривидовой борьбы за существование служит,Отношения «хозяин – паразит»,Приспособленность к окружающей среде,Конкуренция между особями одного вида,Конкуренция между особями разных видов,,C,test,Примером внутривидовой борьбы за существование служит,"A)
Образцом внутривидового соперничества за выживание является

B)
Моделью внутривидовой конкуренции за сохранение выступает

C)
Иллюстрацией внутривидового противостояния за жизнь является

D)
Случаем внутривидового состязания за процветание служит",Образцом внутривидового соперничества за выживание является,Моделью внутривидовой конкуренции за сохранение выступает,Иллюстрацией внутривидового противостояния за жизнь является,Случаем внутривидового состязания за процветание служит,E,E,A,A,E
7708,https://ymnik.kz/tests_old/geography/?v=138,Social Science,Geography,High School,Russian,Geography (High School in rus),К основным климатообразующим факторам относятся:,угол наклона земной оси.,движение литосферных плит.,"циркуляция воздушных масс, подстилающая поверхность, географическая широта.",вращение Земли вокруг своей оси.,географическая долгота.,C,test,К основным климатообразующим факторам относятся:,"A)
К базовым климатоформирующим аспектам причисляются:

B)
К ключевым климатосоставляющим элементам причисляются:

C)
К фундаментальным климатогенерирующим компонентам принадлежат:

D)
К главным климатосозидающим условиям принадлежат:",К базовым климатоформирующим аспектам причисляются:,К ключевым климатосоставляющим элементам причисляются:,К фундаментальным климатогенерирующим компонентам принадлежат:,К главным климатосозидающим условиям принадлежат:,A,E,E,A,A
14345,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),Өрнектің мәнін табыңыз: \(\frac{1}{2}arctg0 - \frac{1}{2}arccos\frac{1}{2}\),\(-\frac{\pi}{6}\),\(-\frac{\pi}{4}\),\(-\frac{\pi}{3}\),\(\frac{\pi}{6}\),,A,test,Өрнектің мәнін табыңыз: \(\frac{1}{2}arctg0 - \frac{1}{2}arccos\frac{1}{2}\),"A)
Есептің мағынасын анықтаңыз: \(\frac{1}{2}arctg0 - \frac{1}{2}arccos\frac{1}{2}\)

B)
Тізбектің шамасын есептеңіз: \(\frac{1}{2}arctg0 - \frac{1}{2}arccos\frac{1}{2}\)

C)
Функцияның көрсеткішін табыңыз: \(\frac{1}{2}arctg0 - \frac{1}{2}arccos\frac{1}{2}\)

D)
Берілгеннің жауабын көрсетіңіз: \(\frac{1}{2}arctg0 - \frac{1}{2}arccos\frac{1}{2}\)",Есептің мағынасын анықтаңыз: \(\frac{1}{2}arctg0 - \frac{1}{2}arccos\frac{1}{2}\),Тізбектің шамасын есептеңіз: \(\frac{1}{2}arctg0 - \frac{1}{2}arccos\frac{1}{2}\),Функцияның көрсеткішін табыңыз: \(\frac{1}{2}arctg0 - \frac{1}{2}arccos\frac{1}{2}\),Берілгеннің жауабын көрсетіңіз: \(\frac{1}{2}arctg0 - \frac{1}{2}arccos\frac{1}{2}\),E,E,E,E,E
1418,https://ymnik.kz/tests_old/biology/?v=41,STEM,Biology,High School,Russian,Biology (High School in rus),К минеральным удобрениям относится:,Птичий помет,Навоз,Селитра,Торф,Перегной,C,test,К минеральным удобрениям относится:,"A)
К неорганическим подкормкам причисляется:

B)
К ископаемым агрохимикатам причисляется:

C)
К неорганическим тукам относится:

D)
К ископаемым подкормкам относится:",К неорганическим подкормкам причисляется:,К ископаемым агрохимикатам причисляется:,К неорганическим тукам относится:,К ископаемым подкормкам относится:,E,E,A,E,E
21835,https://itest.kz/kz/endless,Humanities,World_History,High School,Kazakh,World History (High School in kaz),1792 ж. Пруссия мен Австрияның Францияға қарсы одақ құру себебі:,Францияның жерін басып алу үшін,Негізгі бәсекелесін әлсірету үшін,Француз революциясын тұншықтыру үшін,Революцияның өз елдеріне жайылып кетпеуі үшін,,C,test,1792 ж. Пруссия мен Австрияның Францияға қарсы одақ құру себебі:,"A)
1792 ж. Пруссия мен Австрияның Францияға қарсы коалиция құру негізі:

B)
1792 ж. Пруссия мен Австрияның Францияға қарсы блок құру түрткісі:

C)
1792 ж. Пруссия мен Австрияның Францияға қарсы бірлестік құру мақсаты:

D)
1792 ж. Пруссия мен Австрияның Францияға қарсы альянс құру себебі:",1792 ж. Пруссия мен Австрияның Францияға қарсы коалиция құру негізі:,1792 ж. Пруссия мен Австрияның Францияға қарсы блок құру түрткісі:,1792 ж. Пруссия мен Австрияның Францияға қарсы бірлестік құру мақсаты:,1792 ж. Пруссия мен Австрияның Францияға қарсы альянс құру себебі:,E,E,E,E,E
18420,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),"Через неподвижный блок подвешены два груза \(m_1\) и \(m_2\) на невесомой, нерастяжимой нити, причем \(m_1\) > \(m_2.\) Массой блока и трением в нем пренебречь. Ускорения и натяжения нити в этом случае находятся в соотношении","\(a_1\) > \(a_2\), \(F_1\) > \(F_2\)","\(a_1\) > \(a_2\), \(F_1\)  = \(F_2\)","\(a_1=\) \(a_2\), \(F_1\) > \(Ғ_2\)","\(a_1=a_2, F_1= Ғ_2\)",,B,test,"Через неподвижный блок подвешены два груза \(m_1\) и \(m_2\) на невесомой, нерастяжимой нити, причем \(m_1\) > \(m_2.\) Массой блока и трением в нем пренебречь. Ускорения и натяжения нити в этом случае находятся в соотношении","A)
Сквозь стационарный ролик закреплены два тела \(m_1\) и \(m_2\) на легком, нерастяжимом шнуре, при этом \(m_1\) > \(m_2.\) Весом ролика и сопротивлением в нем пренебречь. Ускорения и силы натяжения шнура в данной ситуации находятся в пропорции

B)
Посредством фиксированного блока перекинуты два объекта \(m_1\) и \(m_2\) на невесомом, нерастяжимом канате, причем \(m_1\) > \(m_2.\) Инерцией блока и трением в нем пренебречь. Величины ускорений и натяжений каната в этом примере находятся в зависимости

C)
Через закрепленный шкив перекинуты два веса \(m_1\) и \(m_2\) на безмассовой, нерастяжимой нитке, причем \(m_1\) > \(m_2.\) Массой шкива и потерями в нем пренебречь. Ускорения и натяжения нитки в указанном случае находятся в соответствии

D)
Над неподвижным колесом подвешены два груза \(m_1\) и \(m_2\) на легкой, нерастяжимой леске, при этом \(m_1\) > \(m_2.\) Весом колеса и трением в нем пренебречь. Значения ускорений и натяжения лески в данном условии находятся в соотношении","Сквозь стационарный ролик закреплены два тела \(m_1\) и \(m_2\) на легком, нерастяжимом шнуре, при этом \(m_1\) > \(m_2.\) Весом ролика и сопротивлением в нем пренебречь. Ускорения и силы натяжения шнура в данной ситуации находятся в пропорции","Посредством фиксированного блока перекинуты два объекта \(m_1\) и \(m_2\) на невесомом, нерастяжимом канате, причем \(m_1\) > \(m_2.\) Инерцией блока и трением в нем пренебречь. Величины ускорений и натяжений каната в этом примере находятся в зависимости","Через закрепленный шкив перекинуты два веса \(m_1\) и \(m_2\) на безмассовой, нерастяжимой нитке, причем \(m_1\) > \(m_2.\) Массой шкива и потерями в нем пренебречь. Ускорения и натяжения нитки в указанном случае находятся в соответствии","Над неподвижным колесом подвешены два груза \(m_1\) и \(m_2\) на легкой, нерастяжимой леске, при этом \(m_1\) > \(m_2.\) Весом колеса и трением в нем пренебречь. Значения ускорений и натяжения лески в данном условии находятся в соотношении",E,E,E,E,E
12906,https://itest.kz/kz/endless,Humanities,Law,High School,Kazakh,Law (High School in kaz),Азаматтық қоғамның қалыптасуындағы маңызды фактордың бірі:,Қоғамдық бірізділік,Зайырлы,Этнографиялық,Рухани,,D,test,Азаматтық қоғамның қалыптасуындағы маңызды фактордың бірі:,"A)
Зайырлы қауымның орнығуындағы шешуші жағдайдың бірі:

B)
Бұқаралық ортаның құрылуындағы негізгі тетіктің бірі:

C)
Қоғамдық жүйенің дамуындағы елеулі алғышарттың бірі:

D)
Мемлекеттік бірлестіктің түзілуіндегі өзекті себептің бірі:",Зайырлы қауымның орнығуындағы шешуші жағдайдың бірі:,Бұқаралық ортаның құрылуындағы негізгі тетіктің бірі:,Қоғамдық жүйенің дамуындағы елеулі алғышарттың бірі:,Мемлекеттік бірлестіктің түзілуіндегі өзекті себептің бірі:,A,A,E,A,E
11049,https://itest.kz/kz/endless,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),Ауыспалы мағынасы бар сөз,Малдың көзі,Таза бұлақ,Қара көйлек,Бос сөз,,D,test,Ауыспалы мағынасы бар сөз,"A)
Көшірмелі манасы бар лексема

B)
Тура емес мағынадағы атау

C)
Жанама мәні бар бірлік

D)
Астарлы мағынасы бар сөйлемше",Көшірмелі манасы бар лексема,Тура емес мағынадағы атау,Жанама мәні бар бірлік,Астарлы мағынасы бар сөйлемше,E,E,E,E,E
18413,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),"Укажите правильный вариант, описывающий разность фаз между напряжением и силой тока на конденсаторе в цепи переменного тока.",Напряжение отстает от силы тока на 90°,Сила тока отстает от напряжения на 180°,Напряжение опережает силу тока на 90°,Сила тока отстает от напряжения на 90°,,A,test,"Укажите правильный вариант, описывающий разность фаз между напряжением и силой тока на конденсаторе в цепи переменного тока.","A)
Отметьте верный ответ, характеризующий сдвиг фаз между вольтажом и интенсивностью тока на емкостном элементе в контуре синусоидального тока.

B)
Выберите корректное утверждение, излагающее фазовое различие между потенциалом и величиной тока на накопителе в сети периодического тока.

C)
Определите подходящий тезис, формулирующий разрыв фаз между напряженностью и силой потока на конденсаторном устройстве в схеме нестационарного тока.

D)
Найдите точную формулировку, представляющую фазовое расхождение между электрическим напряжением и токовой силой на емкости в системе осциллирующего тока.","Отметьте верный ответ, характеризующий сдвиг фаз между вольтажом и интенсивностью тока на емкостном элементе в контуре синусоидального тока.","Выберите корректное утверждение, излагающее фазовое различие между потенциалом и величиной тока на накопителе в сети периодического тока.","Определите подходящий тезис, формулирующий разрыв фаз между напряженностью и силой потока на конденсаторном устройстве в схеме нестационарного тока.","Найдите точную формулировку, представляющую фазовое расхождение между электрическим напряжением и токовой силой на емкости в системе осциллирующего тока.",E,E,E,E,E
18287,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),"В соленоиде, при силе тока 10 А возникает магнитный поток 0,5 Вб. Энергия магнитного поля соленоида равна",5 Дж,"2,5 Дж",2 Дж,"1,5 Дж",,B,test,"В соленоиде, при силе тока 10 А возникает магнитный поток 0,5 Вб. Энергия магнитного поля соленоида равна","A)
В катушке, при значении тока 10 А появляется магнитный поток 0,5 Вб. Энергия магнитного поля катушки составляет

B)
В индукторе, при величине тока 10 А образуется магнитный поток 0,5 Вб. Энергия магнитного поля индуктора эквивалентна

C)
В соленоиде, при интенсивности тока 10 А создается магнитный поток 0,5 Вб. Энергия магнитного поля соленоида насчитывает

D)
В обмотке, при мощности тока 10 А генерируется магнитный поток 0,5 Вб. Энергия магнитного поля обмотки равняется","В катушке, при значении тока 10 А появляется магнитный поток 0,5 Вб. Энергия магнитного поля катушки составляет","В индукторе, при величине тока 10 А образуется магнитный поток 0,5 Вб. Энергия магнитного поля индуктора эквивалентна","В соленоиде, при интенсивности тока 10 А создается магнитный поток 0,5 Вб. Энергия магнитного поля соленоида насчитывает","В обмотке, при мощности тока 10 А генерируется магнитный поток 0,5 Вб. Энергия магнитного поля обмотки равняется",E,E,E,E,E
22874,https://ymnik.kz/tests_old/worldhistory/?v=8,Humanities,World_History,High School,Russian,World History (High School in rus),Рабы открыли готам ворота Рима в августовскую ночь:,313 года,330 года,410 года,395 года,476 года,C,test,Рабы открыли готам ворота Рима в августовскую ночь:,"A)
Невольники отперли готам входы Рима в августовскую полночь:

B)
Крепостные распахнули вестготам проходы Рима в августовскую тьму:

C)
Подневольные предоставили германцам доступ Рима в августовские сумерки:

D)
Зависимые люди деблокировали захватчикам порталы Рима в августовское время:",Невольники отперли готам входы Рима в августовскую полночь:,Крепостные распахнули вестготам проходы Рима в августовскую тьму:,Подневольные предоставили германцам доступ Рима в августовские сумерки:,Зависимые люди деблокировали захватчикам порталы Рима в августовское время:,E,A,E,E,E
15706,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),"Выполните строгое сравнение чисел 67,83 и 67,25.","\(67,83>67,25\)","\(67,83\ge67,25\)","\(67,83\le67,25\)","\(67,83<67,25\)",,A,test,"Выполните строгое сравнение чисел 67,83 и 67,25.","A)
Осуществите жесткое сопоставление величин 67,83 и 67,25.

B)
Произведите точное сличение значений 67,83 и 67,25.

C)
Сделайте прямое соотнесение показателей 67,83 и 67,25.

D)
Проведите тщательное уподобление данных 67,83 и 67,25.","Осуществите жесткое сопоставление величин 67,83 и 67,25.","Произведите точное сличение значений 67,83 и 67,25.","Сделайте прямое соотнесение показателей 67,83 и 67,25.","Проведите тщательное уподобление данных 67,83 и 67,25.",E,E,E,E,E
5801,https://oltest.kz/tests/obshcheobrazovatelnye_discipliny/,Others,General education disciplines,University,Russian,General Education Disciplines (Professional & University in rus),"Какая группа стандартов определяет правила выполнения чертежей основных машиностроительных деталей, в том числе их упрощенные изображения?
","четвертая группа стандартов
","пятая группа стандартов
","шестая группа стандартов
","вторая группа стандартов
","3 группа стандартов
",A,test,"Какая группа стандартов определяет правила выполнения чертежей основных машиностроительных деталей, в том числе их упрощенные изображения?
","A)
Какая категория нормативов устанавливает нормы создания графиков главных механических компонентов, включая их сокращенные представления?

B)
Какой набор регламентов диктует принципы оформления схем базовых технических узлов, в частности их схематичные зарисовки?

C)
Какое собрание спецификаций формулирует требования отрисовки первичных агрегатных единиц, в том числе их облегченные виды?

D)
Какой перечень требований фиксирует порядок построения планов ключевых инженерных изделий, включая их элементарные воспроизведения?","Какая категория нормативов устанавливает нормы создания графиков главных механических компонентов, включая их сокращенные представления?","Какой набор регламентов диктует принципы оформления схем базовых технических узлов, в частности их схематичные зарисовки?","Какое собрание спецификаций формулирует требования отрисовки первичных агрегатных единиц, в том числе их облегченные виды?","Какой перечень требований фиксирует порядок построения планов ключевых инженерных изделий, включая их элементарные воспроизведения?",E,A,E,E,E
14835,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),Көлемі 125 см\( ^3\) болатын кубтың қырының ұзындығы неше сантиметр?,35,15,25,5,,D,test,Көлемі 125 см\( ^3\) болатын кубтың қырының ұзындығы неше сантиметр?,"A)
Мөлшері 125 см\( ^3\) құрайтын текшенің қырының ұзындығы қанша сантиметр?

B)
Сыйымдылығы 125 см\( ^3\) келетін кубтың қабырғасының ұзындығы неше сантиметр?

C)
Көлемі 125 см\( ^3\) болатын текшенің жағының ұзындығы қанша сантиметр?

D)
Мөлшері 125 см\( ^3\) болатын кубтың қырының ұзындығы неше сантиметр?",Мөлшері 125 см\( ^3\) құрайтын текшенің қырының ұзындығы қанша сантиметр?,Сыйымдылығы 125 см\( ^3\) келетін кубтың қабырғасының ұзындығы неше сантиметр?,Көлемі 125 см\( ^3\) болатын текшенің жағының ұзындығы қанша сантиметр?,Мөлшері 125 см\( ^3\) болатын кубтың қырының ұзындығы неше сантиметр?,E,E,E,E,E
19485,https://ymnik.kz/tests_old/russian/?v=4,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),Слово с ь (мягким знаком) перед о:,Курь_р.,Ружь_ .,Баталь_н.,Чь_ .,Курь_зный.,C,test,Слово с ь (мягким знаком) перед о:,"A)
Лексема с ь (мягким знаком) перед о:

B)
Единица с ь (мягким знаком) перед о:

C)
Термин с ь (мягким знаком) перед о:

D)
Понятие с ь (мягким знаком) перед о:",Лексема с ь (мягким знаком) перед о:,Единица с ь (мягким знаком) перед о:,Термин с ь (мягким знаком) перед о:,Понятие с ь (мягким знаком) перед о:,E,E,E,E,E
16755,https://oltest.kz/tests/filosofiya_i_psihologiya/,Humanities,Philosophy and psychology,University,Russian,Philosophy and Psychology (Professional & University in rus),"Существует определенный порядок подачи спиртных напитков: сначала подаются более легкие, с более тонким букетом, а потом уже более крепкие вина. О каком свойстве ощущения идет речь:
","адаптация личности
","апперцепция
","сенсибилизация
","синестезия
",апраксия,A,test,"Существует определенный порядок подачи спиртных напитков: сначала подаются более легкие, с более тонким букетом, а потом уже более крепкие вина. О каком свойстве ощущения идет речь:
","A)
Имеется конкретная последовательность предложения алкогольной продукции: сперва предлагаются менее плотные, с изысканным ароматом, а затем уже более высокоградусные вина. О какой характеристике восприятия ведется беседа:

B)
Наблюдается установленный алгоритм разлива хмельных изделий: вначале выставляются менее насыщенные, с деликатным послевкусием, а следом уже более спиртуозные вина. О каком качестве рецепции заходит разговор:

C)
Действует фиксированный регламент презентации горячительных товаров: прежде выносятся менее тяжелые, с утонченным профилем, а после уже более концентрированные вина. О каком параметре впечатления спрашивается здесь:

D)
Присутствует заданная очередность сервировки крепких продуктов: вначале подносятся менее весомые, с изящной гаммой, а в дальнейшем уже более мощные вина. О какой особенности анализатора идет речь:","Имеется конкретная последовательность предложения алкогольной продукции: сперва предлагаются менее плотные, с изысканным ароматом, а затем уже более высокоградусные вина. О какой характеристике восприятия ведется беседа:","Наблюдается установленный алгоритм разлива хмельных изделий: вначале выставляются менее насыщенные, с деликатным послевкусием, а следом уже более спиртуозные вина. О каком качестве рецепции заходит разговор:","Действует фиксированный регламент презентации горячительных товаров: прежде выносятся менее тяжелые, с утонченным профилем, а после уже более концентрированные вина. О каком параметре впечатления спрашивается здесь:","Присутствует заданная очередность сервировки крепких продуктов: вначале подносятся менее весомые, с изящной гаммой, а в дальнейшем уже более мощные вина. О какой особенности анализатора идет речь:",E,E,E,E,E
